,2014 Crimean crisis,2014 FIFA World Cup,2014 Hong Kong protests,2014 Israel–Gaza conflict,2014 Winter Olympics,Ebola virus epidemic in West Africa,Heartbleed,Islamic State of Iraq and the Levant,Malaysia Airlines Flight 370,Robin Williams,"Scottish independence referendum, 2014"
2013-12-01,0.0,9471.0,0.0,0.0,5693.0,0.0,0.0,472.0,0.0,6407.0,1868.0
2013-12-02,0.0,14587.0,0.0,0.0,7428.0,0.0,0.0,529.0,0.0,5072.0,2097.0
2013-12-03,0.0,24071.0,0.0,0.0,6414.0,0.0,0.0,654.0,0.0,4732.0,1741.0
2013-12-04,0.0,25208.0,0.0,0.0,7061.0,0.0,0.0,749.0,0.0,4494.0,2529.0
2013-12-05,0.0,26265.0,0.0,0.0,6884.0,0.0,0.0,807.0,0.0,4455.0,2112.0
2013-12-06,0.0,201519.0,0.0,0.0,7558.0,0.0,0.0,707.0,0.0,6094.0,1631.0
2013-12-07,0.0,96299.0,0.0,0.0,6170.0,0.0,0.0,538.0,0.0,4971.0,1355.0
2013-12-08,0.0,37369.0,0.0,0.0,7552.0,0.0,0.0,635.0,0.0,6429.0,1982.0
2013-12-09,0.0,33564.0,0.0,0.0,9646.0,0.0,0.0,657.0,0.0,4977.0,1826.0
2013-12-10,0.0,22825.0,0.0,0.0,8045.0,0.0,0.0,893.0,0.0,4777.0,1632.0
2013-12-11,0.0,17522.0,0.0,0.0,8508.0,0.0,0.0,847.0,0.0,4584.0,1471.0
2013-12-12,0.0,14785.0,0.0,0.0,7777.0,0.0,0.0,721.0,0.0,4541.0,1990.0
2013-12-13,0.0,13102.0,0.0,0.0,6421.0,0.0,0.0,708.0,0.0,5176.0,1463.0
2013-12-14,0.0,10507.0,0.0,0.0,5886.0,0.0,0.0,513.0,0.0,4490.0,1084.0
2013-12-15,0.0,10391.0,0.0,0.0,8032.0,0.0,0.0,655.0,0.0,4855.0,1199.0
2013-12-16,0.0,11361.0,0.0,0.0,10836.0,0.0,0.0,717.0,0.0,5617.0,1497.0
2013-12-17,0.0,10599.0,0.0,0.0,9398.0,0.0,0.0,633.0,0.0,4834.0,1251.0
2013-12-18,0.0,9997.0,0.0,0.0,12419.0,0.0,0.0,699.0,0.0,4596.0,1332.0
2013-12-19,0.0,9321.0,0.0,0.0,10604.0,0.0,0.0,871.0,0.0,4531.0,1283.0
2013-12-20,0.0,8143.0,0.0,0.0,9192.0,0.0,0.0,680.0,0.0,5905.0,1132.0
2013-12-21,0.0,6709.0,0.0,0.0,8045.0,0.0,0.0,484.0,0.0,4672.0,870.0
2013-12-22,0.0,7239.0,0.0,0.0,9538.0,0.0,0.0,438.0,0.0,4774.0,954.0
2013-12-23,0.0,7972.0,0.0,0.0,11663.0,0.0,0.0,531.0,0.0,4898.0,952.0
2013-12-24,0.0,7001.0,0.0,0.0,8447.0,0.0,0.0,547.0,0.0,4472.0,937.0
2013-12-25,0.0,6766.0,0.0,0.0,6996.0,0.0,0.0,412.0,0.0,4433.0,813.0
2013-12-26,0.0,7247.0,0.0,0.0,9571.0,0.0,0.0,589.0,0.0,4686.0,1137.0
2013-12-27,0.0,7626.0,0.0,0.0,9153.0,0.0,0.0,1921.0,0.0,5354.0,1206.0
2013-12-28,0.0,6681.0,0.0,0.0,9148.0,0.0,0.0,725.0,0.0,4836.0,1078.0
2013-12-29,0.0,6818.0,0.0,0.0,15094.0,0.0,0.0,618.0,0.0,5184.0,1291.0
2013-12-30,0.0,7962.0,0.0,0.0,24676.0,0.0,0.0,677.0,0.0,5443.0,1447.0
2013-12-31,0.0,10377.0,0.0,0.0,16874.0,0.0,0.0,573.0,0.0,5280.0,1945.0
2014-01-01,0.0,9564.0,0.0,0.0,15711.0,0.0,0.0,477.0,0.0,4593.0,2902.0
2014-01-02,0.0,9938.0,0.0,0.0,18111.0,0.0,0.0,1133.0,0.0,5155.0,2369.0
2014-01-03,0.0,9886.0,0.0,0.0,14964.0,0.0,0.0,1867.0,0.0,6159.0,1908.0
2014-01-04,0.0,7560.0,0.0,0.0,13575.0,0.0,0.0,4101.0,0.0,5209.0,1760.0
2014-01-05,0.0,1286.0,0.0,0.0,5203.0,0.0,0.0,1634.0,0.0,1486.0,312.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,0.0,12739.0,0.0,0.0,31414.0,0.0,0.0,19323.0,0.0,6409.0,2430.0
2014-01-08,0.0,12871.0,0.0,0.0,26787.0,0.0,0.0,12027.0,0.0,5471.0,2260.0
2014-01-09,0.0,11322.0,0.0,0.0,23434.0,0.0,0.0,9623.0,0.0,5204.0,2088.0
2014-01-10,0.0,10850.0,0.0,0.0,23282.0,0.0,0.0,8823.0,0.0,5347.0,1736.0
2014-01-11,0.0,9003.0,0.0,0.0,17536.0,0.0,0.0,5936.0,0.0,5096.0,1549.0
2014-01-12,0.0,9688.0,0.0,0.0,25497.0,0.0,0.0,6399.0,0.0,6305.0,1872.0
