,2014 Crimean crisis,2014 FIFA World Cup,2014 Ferguson unrest,2014 Hong Kong protests,2014 Israel–Gaza conflict,2014 Winter Olympics,Chibok schoolgirl kidnapping,Cuba–United States relations,Ebola virus epidemic in West Africa,Eurovision Song Contest 2014,Felipe VI of Spain,Gamergate controversy,Heartbleed,Ice Bucket Challenge,"Indian general election, 2014",Islamic State of Iraq and the Levant,Malaysia Airlines Flight 17,Malaysia Airlines Flight 370,Minecraft,Rosetta spacecraft,"Scottish independence referendum, 2014",Sinking of the MV Sewol,Soma mine disaster,"United States elections, 2014"
2013-12-01,0.0,9471.0,0.0,0.0,0.0,5693.0,0.0,278.0,0.0,3117.0,0.0,0.0,0.0,0.0,2326.0,472.0,0.0,0.0,10764.0,189.0,1868.0,0.0,0.0,268.0
2013-12-02,0.0,14587.0,0.0,0.0,0.0,7428.0,0.0,516.0,0.0,2640.0,0.0,0.0,0.0,0.0,3544.0,529.0,0.0,0.0,10282.0,220.0,2097.0,0.0,0.0,458.0
2013-12-03,0.0,24071.0,0.0,0.0,0.0,6414.0,0.0,678.0,0.0,2381.0,0.0,0.0,0.0,0.0,3527.0,654.0,0.0,0.0,9957.0,236.0,1741.0,0.0,0.0,444.0
2013-12-04,0.0,25208.0,0.0,0.0,0.0,7061.0,0.0,702.0,0.0,2664.0,0.0,0.0,0.0,0.0,5181.0,749.0,0.0,0.0,32097.0,308.0,2529.0,0.0,0.0,490.0
2013-12-05,0.0,26265.0,0.0,0.0,0.0,6884.0,0.0,669.0,0.0,4639.0,0.0,0.0,0.0,0.0,4143.0,807.0,0.0,0.0,10875.0,225.0,2112.0,0.0,0.0,494.0
2013-12-06,0.0,201519.0,0.0,0.0,0.0,7558.0,0.0,553.0,0.0,3650.0,1.0,0.0,0.0,0.0,3146.0,707.0,0.0,0.0,10365.0,164.0,1631.0,0.0,0.0,429.0
2013-12-07,0.0,96299.0,0.0,0.0,0.0,6170.0,0.0,314.0,0.0,3525.0,0.0,0.0,0.0,0.0,2884.0,538.0,0.0,0.0,10646.0,124.0,1355.0,0.0,0.0,249.0
2013-12-08,0.0,37369.0,0.0,0.0,0.0,7552.0,0.0,367.0,0.0,3148.0,0.0,0.0,0.0,0.0,15074.0,635.0,0.0,0.0,10705.0,388.0,1982.0,0.0,0.0,272.0
2013-12-09,0.0,33564.0,0.0,0.0,0.0,9646.0,0.0,701.0,0.0,2851.0,0.0,0.0,0.0,0.0,11609.0,657.0,0.0,0.0,10351.0,256.0,1826.0,0.0,0.0,401.0
2013-12-10,0.0,22825.0,0.0,0.0,0.0,8045.0,0.0,2104.0,0.0,2443.0,0.0,0.0,0.0,0.0,5901.0,893.0,0.0,0.0,11000.0,1156.0,1632.0,0.0,0.0,507.0
2013-12-11,0.0,17522.0,0.0,0.0,0.0,8508.0,0.0,2334.0,0.0,2536.0,0.0,0.0,0.0,0.0,3903.0,847.0,0.0,0.0,10545.0,835.0,1471.0,0.0,0.0,526.0
2013-12-12,0.0,14785.0,0.0,0.0,0.0,7777.0,0.0,947.0,0.0,2818.0,1.0,0.0,0.0,0.0,2730.0,721.0,0.0,0.0,10559.0,406.0,1990.0,0.0,0.0,444.0
2013-12-13,0.0,13102.0,0.0,0.0,0.0,6421.0,0.0,630.0,0.0,3042.0,0.0,0.0,0.0,0.0,2124.0,708.0,0.0,0.0,10656.0,228.0,1463.0,0.0,0.0,376.0
2013-12-14,0.0,10507.0,0.0,0.0,0.0,5886.0,0.0,284.0,0.0,3385.0,0.0,0.0,0.0,0.0,1899.0,513.0,0.0,0.0,11210.0,165.0,1084.0,0.0,0.0,253.0
2013-12-15,0.0,10391.0,0.0,0.0,0.0,8032.0,0.0,416.0,0.0,3618.0,0.0,0.0,0.0,0.0,1977.0,655.0,0.0,0.0,11102.0,235.0,1199.0,0.0,0.0,250.0
2013-12-16,0.0,11361.0,0.0,0.0,0.0,10836.0,0.0,539.0,0.0,2758.0,1.0,0.0,0.0,0.0,2487.0,717.0,0.0,0.0,12787.0,306.0,1497.0,0.0,0.0,378.0
2013-12-17,0.0,10599.0,0.0,0.0,0.0,9398.0,0.0,426.0,0.0,2549.0,0.0,0.0,0.0,0.0,2181.0,633.0,0.0,0.0,13964.0,253.0,1251.0,0.0,0.0,505.0
2013-12-18,0.0,9997.0,0.0,0.0,0.0,12419.0,0.0,466.0,0.0,4025.0,0.0,0.0,0.0,0.0,2183.0,699.0,0.0,0.0,12770.0,196.0,1332.0,0.0,0.0,503.0
2013-12-19,0.0,9321.0,0.0,0.0,0.0,10604.0,0.0,453.0,0.0,4811.0,0.0,0.0,0.0,0.0,1921.0,871.0,0.0,0.0,12316.0,228.0,1283.0,0.0,0.0,495.0
2013-12-20,0.0,8143.0,0.0,0.0,0.0,9192.0,0.0,305.0,0.0,3458.0,1.0,0.0,0.0,0.0,1675.0,680.0,0.0,0.0,12122.0,268.0,1132.0,0.0,0.0,480.0
2013-12-21,0.0,6709.0,0.0,0.0,0.0,8045.0,0.0,158.0,0.0,5466.0,0.0,0.0,0.0,0.0,1368.0,484.0,0.0,0.0,11741.0,305.0,870.0,0.0,0.0,289.0
2013-12-22,0.0,7239.0,0.0,0.0,0.0,9538.0,0.0,234.0,0.0,3863.0,0.0,0.0,0.0,0.0,1466.0,438.0,0.0,0.0,11801.0,234.0,954.0,0.0,0.0,275.0
2013-12-23,0.0,7972.0,0.0,0.0,0.0,11663.0,0.0,183.0,0.0,3404.0,0.0,0.0,0.0,0.0,2351.0,531.0,0.0,0.0,12140.0,211.0,952.0,0.0,0.0,377.0
2013-12-24,0.0,7001.0,0.0,0.0,0.0,8447.0,0.0,131.0,0.0,3149.0,0.0,0.0,0.0,0.0,2267.0,547.0,0.0,0.0,11176.0,229.0,937.0,0.0,0.0,322.0
2013-12-25,0.0,6766.0,0.0,0.0,0.0,6996.0,0.0,96.0,0.0,2760.0,0.0,0.0,0.0,0.0,1751.0,412.0,0.0,0.0,11205.0,141.0,813.0,0.0,0.0,256.0
2013-12-26,0.0,7247.0,0.0,0.0,0.0,9571.0,0.0,146.0,0.0,3186.0,0.0,0.0,0.0,0.0,1899.0,589.0,0.0,0.0,12140.0,175.0,1137.0,0.0,0.0,464.0
2013-12-27,0.0,7626.0,0.0,0.0,0.0,9153.0,0.0,173.0,0.0,3501.0,2.0,0.0,0.0,0.0,2018.0,1921.0,0.0,0.0,11978.0,244.0,1206.0,0.0,0.0,526.0
2013-12-28,0.0,6681.0,0.0,0.0,0.0,9148.0,0.0,148.0,0.0,4349.0,0.0,0.0,0.0,0.0,1851.0,725.0,0.0,0.0,10697.0,147.0,1078.0,0.0,0.0,462.0
2013-12-29,0.0,6818.0,0.0,0.0,0.0,15094.0,0.0,142.0,0.0,4835.0,1.0,0.0,0.0,0.0,2220.0,618.0,0.0,0.0,11248.0,156.0,1291.0,0.0,0.0,501.0
2013-12-30,0.0,7962.0,0.0,0.0,0.0,24676.0,0.0,217.0,0.0,3336.0,0.0,0.0,0.0,0.0,2744.0,677.0,0.0,0.0,11082.0,250.0,1447.0,0.0,0.0,592.0
2013-12-31,0.0,10377.0,0.0,0.0,0.0,16874.0,0.0,196.0,0.0,3774.0,0.0,0.0,0.0,0.0,2811.0,573.0,0.0,0.0,10170.0,463.0,1945.0,0.0,0.0,594.0
2014-01-01,0.0,9564.0,0.0,0.0,0.0,15711.0,0.0,175.0,0.0,4117.0,0.0,0.0,0.0,0.0,2544.0,477.0,0.0,0.0,9754.0,511.0,2902.0,0.0,0.0,574.0
2014-01-02,0.0,9938.0,0.0,0.0,0.0,18111.0,0.0,247.0,0.0,3471.0,1.0,0.0,0.0,0.0,3418.0,1133.0,0.0,0.0,10162.0,545.0,2369.0,0.0,0.0,766.0
